game,ale_env,action_space,obs_rows,obs_cols,openai-es,dqn,a2cFF,a3cFF_1day,uct,hyperneat
Adventure,ALE/Adventure-v5,18,250,160,NA,NA,NA,NA,NA,NA
Air Raid,ALE/AirRaid-v5,6,250,160,NA,NA,NA,NA,NA,"7,415.00"
Alien,ALE/Alien-v5,18,210,160,NA,NA,NA,NA,"7,785.00","1,586.00"
Amidar,ALE/Amidar-v5,10,210,160,112.00,133.40,548.20,283.90,180.30,184.40
Assault,ALE/Assault-v5,7,210,160,"1,673.90","3,332.30","3,779.70","6,723.00","1,512.20",912.60
Asterix,ALE/Asterix-v5,9,210,160,"1,440.00",124.50,"2,026.60","3,746.10","290,700.00","2,340.00"
Asteroids,ALE/Asteroids-v5,14,210,160,"1,562.00",697.10,"1,733.40","3,009.40","4,660.60","1,694.00"
Atlantis,ALE/Atlantis-v5,4,210,160,"1,267,410.00","76,108.00","2,872,644.80","772,392.00","193,858.00","61,260.00"
Atlantis-2,ALE/Atlantis2-v5,4,210,160,NA,NA,NA,NA,NA,NA
Backgammon,ALE/Backgammon-v5,3,210,160,NA,NA,NA,NA,NA,NA
Bank Heist,ALE/BankHeist-v5,18,210,160,225.00,176.30,724.10,946.00,497.80,214.00
Basic Math,ALE/BasicMath-v5,6,210,160,NA,NA,NA,NA,NA,NA
Battle Zone,ALE/BattleZone-v5,18,210,160,"16,600.00","17,560.00","8,406.20","11,340.00","70,333.30","36,200.00"
Beam Rider,ALE/BeamRider-v5,9,210,160,744.00,"8,672.40","4,438.90","13,235.90","6,624.60","1,412.80"
Berzerk,ALE/Berzerk-v5,18,210,160,686.00,(Empty?),720.60,"1,433.40",553.50,"1,394.00"
Blackjack,ALE/Blackjack-v5,4,210,160,NA,NA,NA,NA,NA,NA
Bowling,ALE/Bowling-v5,6,210,160,30.00,41.20,28.90,36.20,25.10,135.80
Boxing,ALE/Boxing-v5,18,210,160,49.80,25.80,95.80,33.70,100.00,16.40
Breakout,ALE/Breakout-v5,4,210,160,9.50,303.90,368.50,551.60,364.40,2.80
Carnival,ALE/Carnival-v5,6,214,160,NA,NA,NA,NA,"5,132.00","2,544.00"
Casino,ALE/Casino-v5,4,210,160,NA,NA,NA,NA,NA,NA
Centipede,ALE/Centipede-v5,18,210,160,"7,783.90","3,773.10","2,773.30","3,306.50","110,422.00","25,275.20"
Chopper Command,ALE/ChopperCommand-v5,18,210,160,"3,710.00","3,046.00","1,700.00","4,669.00","34,018.80","3,960.00"
Crazy Climber,ALE/CrazyClimber-v5,9,210,160,"26,430.00","50,992.00","100,034.40","101,624.00","98,172.20",0.00
Crossbow,ALE/Crossbow-v5,18,210,160,NA,NA,NA,NA,NA,NA
Dark Chambers,ALE/Darkchambers-v5,18,210,160,NA,NA,NA,NA,NA,NA
Defender,ALE/Defender-v5,18,210,160,NA,NA,NA,NA,NA,"14,620.00"
