environment,action_space_type,action_space_size,obs_rows,obs_cols,source_csvs
ALE/Krull-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Zaxxon-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Gravitar-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Seaquest-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Pong-v5,Discrete,6,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Kangaroo-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Solaris-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|muzero.csv|rainbow_table6.csv
ALE/Asterix-v5,Discrete,9,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/BattleZone-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/MsPacman-v5,Discrete,9,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/Amidar-v5,Discrete,10,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
ALE/IceHockey-v5,Discrete,18,210,160,atari_scores.csv|compare_scores_out.csv|dist_rl_fig14.csv|dist_rl_quantile_reg.csv|double_q_learning_table3.csv|muzero.csv|rainbow_table6.csv
