game,SCOPE,rank,openai-es,dqn,a2cFF,a3cFF_1day,uct,hneat_object,hneat_pixel,hneat_noise,neat_object,neat_noise,cne_object,cne_noise,cmaes_object,random,sarsa,planning
Air Raid,18875,1,NA,NA,NA,NA,NA,4335.00,7415.00,2380.00,4945.00,3450.00,4180.00,3075.00,4615.00,548.30,NA,NA
Alien,2450,4,NA,NA,NA,NA,7785.00,2246.00,1586.00,764.00,4320.00,1842.00,1988.00,1960.00,2730.00,116.70,939.20,7785.00
Amidar,197,6,112.00,133.40,548.20,283.90,180.30,218.80,184.40,124.00,325.20,187.20,161.80,195.00,467.40,0.90,103.40,180.30
Assault,1218,10,1673.90,3332.30,3779.70,6723.00,1512.20,2396.00,912.60,764.40,2717.20,799.00,1276.80,693.00,2219.40,366.10,628.00,1512.20
Asterix,2350,5,1440.00,124.50,2026.60,3746.10,290700.00,2550.00,2340.00,1410.00,1490.00,1240.00,1310.00,1300.00,2970.00,315.00,987.30,290700.00
Asteroids,3100,8,1562.00,697.10,1733.40,3009.40,4660.60,220.00,1694.00,5316.00,4144.00,7204.00,4800.00,6940.00,3734.00,1394.30,907.30,4660.60
Atlantis,79100,10,1267410.00,76108.00,2872644.80,772392.00,193858.00,44200.00,61260.00,78640.00,126260.00,103120.00,96080.00,86000.00,81980.00,32063.30,62687.00,193858.00
Bank Heist,100,14,225.00,176.30,724.10,946.00,497.80,1308.00,214.00,68.00,380.00,106.00,372.00,110.00,354.00,17.30,190.80,497.80
Battle Zone,27000,9,16600.00,17560.00,8406.20,11340.00,70333.30,37600.00,36200.00,48600.00,45000.00,41800.00,30600.00,20000.00,51600.00,2000.00,15819.70,70333.30
Beam Rider,1332,13,744.00,8672.40,4438.90,13235.90,6624.60,1443.20,1412.80,1360.80,1900.00,1437.60,1494.40,1380.00,1736.80,414.70,929.40,6624.60
Berzerk,1500,3,686.00,NA,720.60,1433.40,553.50,1358.00,1394.00,1296.00,1202.00,1536.00,988.00,1560.00,1044.00,171.70,501.30,670.00
Bowling,73,9,30.00,41.20,28.90,36.20,25.10,250.40,135.80,101.40,231.60,170.60,223.00,147.00,168.60,23.80,43.90,43.90
Boxing,92,4,49.80,25.80,95.80,33.70,100.00,91.60,16.40,33.80,92.80,60.80,45.20,57.00,71.80,-2.20,44.00,100.00
Breakout,7,10,9.50,303.90,368.50,551.60,364.40,40.80,2.80,2.40,43.60,5.00,17.20,4.00,23.20,0.80,5.20,364.40
Carnival,5420,2,NA,NA,NA,NA,5132.00,3532.00,2544.00,3048.00,4920.00,4338.00,5514.00,3880.00,3064.00,915.30,2323.90,5132.00
Centipede,27560,4,7783.90,3773.10,2773.30,3306.50,110422.00,33326.60,25275.20,20309.80,22469.60,24831.60,22866.00,21849.00,27293.00,2711.30,8803.80,125123.00
Chopper Command,3100,11,3710.00,3046.00,1700.00,4669.00,34018.80,8120.00,3960.00,2680.00,4580.00,3360.00,5960.00,3500.00,13360.00,836.70,1581.50,34018.80
Crazy Climber,NA,NA,26430.00,50992.00,100034.40,101624.00,98172.20,12840.00,0.00,11680.00,25060.00,23560.00,25320.00,21400.00,19980.00,2506.70,23410.60,98172.20
Defender,NA,NA,NA,NA,NA,NA,NA,15080.00,14620.00,22830.00,16250.00,36300.00,16410.00,35250.00,12230.00,4370.00,NA,NA
Demon Attack,5070,5,1166.50,12835.20,23657.70,84997.50,28158.80,3082.00,3590.00,2967.00,3464.00,2707.00,3377.00,3065.00,2834.00,354.70,520.50,28158.80
Double Dunk,NA,NA,0.20,21.60,3.20,0.10,NA,4.00,2.00,0.00,10.80,10.80,12.40,10.00,2.40,-16.00,-13.10,24.00
Elevator Action,NA,NA,NA,NA,NA,NA,18100.00,21600.00,0.00,800.00,32820.00,31120.00,32460.00,30300.00,23320.00,4026.70,3220.60,18100.00
Enduro,170,3,95.00,475.60,0.00,82.20,286.30,112.80,93.60,90.60,133.80,99.40,27.40,35.00,95.40,0.00,129.10,286.30
Fishing Derby,-19,6,49.00,2.30,33.90,13.60,37.80,-37.00,-49.80,-72.60,-43.80,-47.40,-46.60,-51.00,-45.40,-93.50,-89.50,37.80
Freeway,28,7,31.00,25.80,0.00,0.10,0.40,29.60,29.00,28.00,30.80,30.00,26.40,29.00,32.00,0.00,19.10,22.50
Frostbite,5990,1,370.00,157.40,266.60,180.10,270.50,2226.00,2260.00,270.00,1452.00,338.00,362.00,320.00,3786.00,66.70,216.90,270.50
Gopher,1960,11,582.00,2731.80,6266.20,8442.80,20560.00,6252.00,364.00,1260.00,6092.00,2600.00,2588.00,2440.00,10428.00,213.30,1288.30,20560.00
Gravitar,1200,8,805.00,216.50,256.20,269.50,2850.00,1990.00,370.00,710.00,2840.00,2530.00,2390.00,2300.00,2010.00,170.00,387.70,2850.00
Hero,NA,NA,NA,NA,NA,NA,12859.50,3638.00,5090.00,1858.00,3894.00,5729.00,5067.00,5775.00,3546.00,834.50,6458.80,12859.50
Ice Hockey,8,4,4.10,3.80,4.90,4.70,39.40,9.00,10.60,7.40,3.80,3.00,2.20,2.00,3.80,-9.90,-9.50,39.40
Jamesbond,7100,2,NA,NA,NA,NA,330.00,12730.00,5660.00,2060.00,2380.00,6900.00,410.00,250.00,1770.00,18.30,202.80,330.00
Journey Escape,24200,1,NA,NA,NA,NA,7683.30,20760.00,17100.00,11460.00,21840.00,18600.00,19100.00,18300.00,14660.00,-20026.70,-8713.50,7683.30
Kangaroo,1600,8,11200.00,2696.00,1357.60,106.00,1990.00,4880.00,800.00,720.00,12800.00,1280.00,1160.00,1400.00,8840.00,53.30,1622.10,1990.00
Krull,9450,6,8647.20,3864.00,6411.50,8066.60,5037.00,23890.20,12601.40,10005.40,20337.80,6864.20,6101.80,5688.00,25908.80,1780.30,3371.50,5037.00
Kung Fu Master,20500,9,NA,NA,NA,NA,48854.50,47820.00,7720.00,20580.00,87340.00,57820.00,83080.00,54900.00,78960.00,553.30,19544.00,48854.50
Montezuma Revenge,NA,NA,0.00,50.00,0.00,53.00,0.00,0.00,0.00,0.00,340.00,60.00,340.00,100.00,340.00,3.30,10.70,10.70
Ms. Pacman,3340,9,NA,NA,NA,NA,22336.00,3830.00,3408.00,2378.00,4902.00,3916.00,4112.00,3980.00,3728.00,167.70,1691.80,22336.00
Name This Game,NA,NA,4503.00,5439.90,5532.80,5614.00,15410.00,8346.00,6742.00,4570.00,7084.00,5452.00,6396.00,5210.00,6820.00,1806.00,2500.10,15410.00
Phoenix,5340,9,4041.00,NA,14104.70,28181.80,NA,5860.00,1762.00,4898.00,7832.00,6290.00,9178.00,7960.00,5472.00,1173.70,NA,NA
Pitfall,NA,NA,0.00,NA,8.20,123.00,NA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-383.30,NA,NA
Pong,-3,7,21.00,16.20,20.80,11.40,21.00,4.00,-17.40,-19.60,15.20,-16.00,-10.00,-16.00,-7.40,-20.70,-19.00,21.00
Pooyan,2445,8,NA,NA,NA,NA,17763.40,2900.00,1222.00,2566.00,2761.00,2782.00,2883.00,2670.00,2210.00,505.20,1225.30,17763.40
Private Eye,14800,2,100.00,298.20,100.00,194.40,100.00,15045.20,10747.40,10692.60,1926.40,14412.80,9750.40,14385.00,880.00,-690.30,684.30,1947.30
Qbert,1125,10,147.50,4589.80,15758.60,13752.30,17343.40,810.00,695.00,795.00,1935.00,1275.00,2165.00,1200.00,1675.00,222.50,613.50,17343.40
Riverraid,3930,9,5009.00,4065.30,9856.90,10001.20,4449.00,4736.00,2616.00,2136.00,4718.00,3116.00,4120.00,3000.00,3760.00,1524.70,1904.30,4449.00
Road Runner,18500,4,16590.00,9264.00,33846.90,31769.00,38725.00,14420.00,3220.00,2900.00,9600.00,7440.00,5140.00,7000.00,11320.00,43.30,67.70,38725.00
Robotank,39,5,11.90,58.50,2.20,2.30,50.40,42.40,43.80,37.80,18.00,35.60,15.00,33.00,14.40,1.60,28.70,50.40
Seaquest,960,7,1390.00,2793.90,1763.70,2300.20,5132.40,2508.00,716.00,760.00,944.00,860.00,800.00,840.00,880.00,114.00,664.80,5132.40
Skiing,-7687,7,15442.50,NA,15245.80,13700.00,-0.80,-9127.20,-7983.60,-8836.00,-6984.00,-9071.20,-8452.40,-9612.00,-7361.20,-18196.90,NA,NA
Solaris,NA,NA,2090.00,NA,2265.00,1884.80,NA,0.00,160.00,11020.00,14764.00,16760.00,14768.00,16120.00,11740.00,2048.00,NA,NA
