game,random,human,dqn,double_dqn
Alien,227.80,6875.40,3069.33,2907.30
Amidar,5.80,1675.80,739.50,702.10
Assault,222.40,1496.40,3358.63,5022.90
Asterix,210.00,8503.30,6011.67,15150.00
Asteroids,719.10,13156.70,1629.33,930.60
Atlantis,12850.00,29028.10,85950.00,64758.00
Bank Heist,14.20,734.40,429.67,728.30
Battle Zone,2360.00,37800.00,26300.00,25730.00
Beam Rider,363.90,5774.70,6845.93,7654.00
Bowling,23.10,154.80,42.40,70.50
Boxing,0.10,4.30,71.83,81.70
Breakout,1.70,31.80,401.20,375.00
Centipede,2090.90,11963.20,8309.40,4139.40
Chopper Command,811.00,9881.80,6686.67,4653.00
Crazy Climber,10780.50,35410.50,114103.33,101874.00
Demon Attack,152.10,3401.30,9711.17,9711.90
Double Dunk,-18.60,-15.50,-18.07,-6.30
Enduro,0.00,309.60,301.77,319.50
Fishing Derby,-91.70,5.50,-0.80,20.30
Freeway,0.00,29.60,30.30,31.80
Frostbite,65.20,4334.70,328.33,241.50
Gopher,257.60,2321.00,8520.00,8215.40
Gravitar,173.00,2672.00,306.67,170.50
H.E.R.O.,1027.00,25762.50,19950.33,20357.00
Ice Hockey,-11.20,0.90,-1.60,-2.40
James Bond,29.00,406.70,576.67,438.00
Kangaroo,52.00,3035.00,6740.00,13651.00
Krull,1598.00,2394.60,3804.67,4396.70
Kung-Fu Master,258.50,22736.20,23270.00,29486.00
Montezuma's Revenge,0.00,4366.70,0.00,0.00
Ms. Pacman,307.30,15693.40,2311.00,3210.00
Name This Game,2292.30,4076.20,7256.67,6997.10
Pong,-20.70,9.30,18.90,21.00
Private Eye,24.90,69571.30,1787.57,670.10
Q*Bert,163.90,13455.00,10595.83,14875.00
River Raid,1338.50,13513.30,8315.67,12015.30
Road Runner,11.50,7845.00,18256.67,48377.00
Robotank,2.20,11.90,51.57,46.70
Seaquest,68.40,20181.80,5286.00,7995.00
Space Invaders,148.00,1652.30,1975.50,3154.60
Star Gunner,664.00,10250.00,57996.67,65188.00
Tennis,-23.80,-8.90,-2.47,1.70
Time Pilot,3568.00,5925.00,5946.67,7964.00
Tutankham,11.40,167.60,186.70,190.60
Up and Down,533.40,9082.00,8456.33,16769.90
Venture,0.00,1187.50,380.00,93.00
Video Pinball,16256.90,17297.60,42684.07,70009.00
Wizard of Wor,563.50,4756.50,3393.33,5204.00
Zaxxon,32.50,9173.30,4976.67,10182.00
